所在区,分類,施 設 名,組織,認可 定員 (全体),所在地,電話番号,受入開始年齢,,預かり保育,,園バス,給食,未就園児教室,,園庭開放
垂水区,幼稚園(私学助成制度),舞子幼稚園,(学),480,西舞子４－２－５,783-2424,○,,７：００,１９：００,○,週４日,-,○,○
垂水区,幼稚園（私学助成制度）,高丸幼稚園,(学),280,大町５－１－１０,707-3259,○,,７：５０,１８：００,○,週４日,-,○,○
垂水区,幼保連携型認定こども園,幼保連携型認定こども園 塩屋幼稚園,(学),304,塩屋町９－２２－３,751-4114,○,,７：００,１９：００,○,週５日,-,○,○
垂水区,幼稚園（私学助成制度）,愛徳幼稚園,(学),480,霞ヶ丘７－４－３９,706-0391,○,,７：３０,１８：００,○,-,○,-,○
垂水区,幼稚園型認定こども園,認定こども園 湊川短期大学附属西舞子幼稚園,(学),220,南多聞台５－８－１,781-1558,○,,７：００,１９：００,○,週５日,-,○,○
垂水区,幼稚園（私学助成制度）,星陵台めぐみ幼稚園,(学),240,星陵台４－２,783-4466,,○,-,１８：００,○,週２日,-,○,○
垂水区,幼稚園型認定こども園,認定こども園 湊川短期大学附属神陵台幼稚園,(学),240,神陵台５－８－６,781-5321,○,,７：００,１９：００,○,週６日,-,○,○
垂水区,幼保連携型認定こども園,幼保連携型認定こども園 明舞幼稚園,(学),400,狩口台５－１４－１,781-2345,○,,７：００,１９：００,○,週６日,生後６ケ月,○,○
垂水区,幼稚園（私学助成制度）,神陵台愛徳幼稚園,(学),400,神陵台７－１３－１３,782-6425,○,,７：３０,１８：００,○,週１日,-,○,○
垂水区,幼稚園（私学助成制度）,愛垂幼稚園,(学),200,瑞ケ丘６－１３,707-3808,,○,８：００,１７：００,-,週５日,-,○,○
垂水区,幼稚園（私学助成制度）,園田学園女子大学附属学が丘幼稚園,(学),240,学が丘１－１０,783-8080,,○,７：００,１９：００,○,-,-,満２歳,○
垂水区,幼保連携型認定こども園,幼保連携型認定こども園 桃の木幼稚園,(学),315,桃山台３－２３－２,753-0123,○,,７：００,１９：００,○,週６日,-,○,○
垂水区,幼保連携型認定こども園,幼保連携型認定こども園 多夢の森,(福),105,南多聞台４－４－５０,787-0939,○,,７：３０,１８：３０,-,週５日,-,-,○
垂水区,幼保連携型認定こども園,幼保連携型認定こども園 夢の森,(福),75,高丸６－３－１,704-3008,○,,７：３０,１８：３０,-,週５日,-,-,○
垂水区,幼保連携型認定こども園,幼保連携型おとぎ認定こども園,(福),135,美山台２－１－３,753-1126,,○,８：００,１８：００,-,週５日,-,-,○
垂水区,幼保連携型認定こども園,幼保連携型認定こども園 花の森,(福),95,名谷町乙１９４１－１,791-0601,○,,７：３０,１８：３０,-,週５日,-,-,○
垂水区,幼保連携型認定こども園,幼保連携型認定こども園 心の森,(福),75,清水が丘３－１－１６,787-3500,○,,７：３０,１８：３０,-,週５日,-,-,○
垂水区,幼保連携型認定こども園,幼保連携型小束山認定こども園,(福),135,小束山本町２－１３－１,783-0003,,○,７：００,１９：００,-,週６日,-,○,○
垂水区 垂水区,幼保連携型認定こども園,幼保連携型認定こども園 上高丸,(福),85,高丸８－１５－１２,709-4018,○,,７：３０,１８：３０,-,週５日,-,-,○
,幼保連携型認定こども園,（仮称）幼保連携型認定こども園 しおやこども園,（福）,75,塩屋町３－２３－１,753-4334,○,,７：００,１８：００,-,週５日,-,-,○
垂水区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園 かすみがおか虹こども園,（福）,105,霞ヶ丘１－６－１９,707-5554,○,,７：００,１９：００,-,週６日,-,-,○
垂水区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園 たけのこども園,（福）,69,山手２－３－１８,753-7777,○,,７：００,１８：００,-,週５日,-,-,○
垂水区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園 多聞台こども園,（福）,109,多聞台３－９－１３,781-2286,○,,７：００,１９：００,-,週６日,-,-,○
垂水区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園 たかつか保育園,（福）,69,小束山手１－２４－１,795-2424,○,,７：００,１９：００,-,週６日,-,-,○
