所在区,分類,施 設 名,組織,認可 定員 (全体),所在地,電話番号,受入開始年齢,,預かり保育,,園バス,給食,未就園児教室,,園庭開放
須磨区（本区）,幼保連携型認定こども園,幼保連携型認定こども園 神戸ＹＭＣＡちとせ幼稚園,(学),280,高倉台４－１２,732-3542,,○,７：００,１９：００,○,週６日,-,○,○
須磨区（本区）,幼稚園（新制度）,須磨みどり幼稚園,(学),75,中島町２－５－１５,731-0990,,○,８：００,１７：００,-,週１回,-,○,○
須磨区（本区）,幼稚園（私学助成制度）,平田幼稚園,(学),400,平田町３－２－４,732-1504,,○,-,１８：００,○,週５日,-,○,○
須磨区（北須磨）,幼稚園（私学助成制度）,妙法寺幼稚園,(学),320,妙法寺字前田７７,741-2852,,○,７：００,１９：００,○,週３日,-,満３歳,○
須磨区（北須磨）,幼保連携型認定こども園,（仮称）幼保連携型認定こども園 北須磨保育センター,(福),290,友が丘３－１０７,792-0612,,○,７：００,１９：００,○,週４日,-,-,○
須磨区（北須磨）,幼稚園（私学助成制度）,白川台幼稚園,(学),360,白川台５－５３－１,792-6367,,○,-,１８：００,○,週３日,-,○,○
須磨区（本区）,幼稚園（私学助成制度）,神戸女子大学附属高倉台幼稚園,(学),200,高倉台４－２,734-1767,,○,７：３０,１８：００,○,週４日,-,○,○
須磨区（本区）,幼保連携型認定こども園,幼保連携型認定こども園 若木こども園,(福),90,若木町１－２―２９,734-6281,,○,８：００,１８：００,-,週６日,-,-,○
須磨区(北須磨),幼保連携型認定こども園,幼保連携型認定こども園 のぞみ保育園,(福),185,西落合７－１－１,791-8446,,○,７：００,１９：００,-,週５日,-,-,○
須磨区（北須磨）,幼保連携型認定こども園,幼保連携型認定こども園 若竹こども園,(福),126,南落合３－９－１,793-1112,,○,８：００,１８：００,-,週６日,-,-,○
須磨区（北須磨）,幼保連携型認定こども園,幼保連携型認定こども園 名谷みどりこども園,(福),135,中落合２－３－２,797-7077,,○,７：００,２０：００,-,週６日,-,-,○
須磨区（本区）,幼保連携型認定こども園,幼保連携型認定こども園 村雨こども園,（福）,135,行幸町１－２－２６,733-4363,○,,７：００,１９：００,-,週６日,-,-,○
須磨区（本区）,幼保連携型認定こども園,（仮称）幼保連携型認定こども園 いたやど保育園,（福）,85,大田町１－３－２４,735-3660,,○,７：００,１８：００,-,週５日,-,-,○
須磨区（北須磨）,幼保連携型認定こども園,（仮称）幼保連携型認定こども園 あじさいこども園,（福）,75,白川台４－２０－２０,792-2345,,○,７：００,１９：００,-,週６日,-,-,○
須磨区（北須磨）,幼保連携型認定こども園,（仮称）幼保連携型認定こども園 やまびこ保育園,（福）,156,北落合２－１１－１５,791-3369,,○,７：００,１９：００,-,週５日,-,-,○
