,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成29年8月29日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第 34週 平成29年8月21日 ～ 平成29年8月27日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,,東灘,灘,中央,,兵庫,,北,,長田,須磨,垂水,西,計,,,,,,,,～6ヶ月,,～12ヶ月,,1歳,2歳,,3歳,,4歳,5歳,,6歳,7歳,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～ 働省 働省 ック
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,1,,,,1,,,,,,2,2,6,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【,【定点機,機関,関,,,,,,,,他の感染症情,,,,情報】,】 【,,,,,,,,市内,,内の感染,,,,,の状況】,,,】,,,,,,,,,,,,,,,,,,
,,,,関から報告されたその他の感染症情報】 【市内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○ノロウイルス感染症2例：11ヶ月 女、1歳 女 ○マイコプラズマ肺炎1例：6歳 男,,,,,,,,,,,,,,,,,,,,RSウイルス患者の報告が、定点あたり1.5人となり、過去10年同時期と比較してとても多いです。 手洗い、うがいを励行し、予防や感染拡大防止に努めましょう。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
灘 区○マイコプラズマ肺炎1例：3歳 男 中央区○細菌性腸炎（カンピロバクター）1例：6歳 性別不明 北 区○細菌性腸炎（病原性大腸菌O1）1例：10ヶ月 男 垂水区○細菌性腸炎（病原性大腸菌O18）1例：年齢性別不明,,,,,,,,,,,,,,,,,,,,【行政検査情報】 ※行政検査とは、公衆衛生上、問題となる病原体について市が行う検査のことです。 ○デング熱疑い：38歳 女 検査結果：デング熱（確定） 陽性（3型）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,インドへの渡航後、頭痛、発熱、関節痛・筋肉痛、発疹が出現した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
○細菌性腸炎（病原性大腸菌O166）1例：年齢性別不明 西 区○アデノウイルス感染症1例：1歳 女 ○細菌性腸炎（カンピロバクター）2例：7歳 女、25歳 男 ○細菌性腸炎（カンピロバクター および病原性大腸菌O166）1例：23歳 女,,,,,,,,,,,,,,,,,,,,【夏休みに海外に渡航したみなさまへ】 海外では、さまざまな感染症が流行しています（ヨーロッパ 渡航後、約1ヶ月の間に体調が悪くなった場合は、速やかに,,,,,,,,,,,,,,,,,,,,,,,,夏休みにおける海外での感染症予防について|厚生労働省,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パでの麻しんの流行や蚊媒介感染症など）。 に医療機関を受診しましょう。また、受診時は、,,,,,,,,
,,,,,,,,,,,,,,,,,,,,海外渡航歴を伝えましょう。,,,,,,,,,,,,,,,,イタリア・ルーマニアを含むヨーロッパ地域での「麻しん（はしか）」大規模な流行｜厚生労働省,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,〔お知らせ〕 バックナンバーは神戸市のホームページからご覧いただけます。 神戸市 発生動向 〔検索〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【,【基幹定点（市,,,,,,,ヶ所）からの報告,,,,告】,】 〔お知らせ〕 バックナンバーは神戸市のホームページからご覧いただけます。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,市内 3ヶ所）からの報告】 〔お知らせ〕 バックナンバーは神戸市のホームページからご覧いただけます。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
○マイコプラズマ肺炎1例：15歳 女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
