神戸市感染症発生動向調査週報 平成28年7月20日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第28週 2016年 7月 11日 ～ 2016年 7月 17日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,,中央,,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～,視する さい。
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○マイコプラズマ感染症３例：５～９歳女（６１０１） 灘 区○マイコプラズマ感染症１例：５～９歳男（６２０２） 中央区○アデノウイルス感染症１例：０～４歳女（６３０１） 北 区○サルモネラ感染症１例：５～９歳男（６５０５） 北 区○マイコプラズマ感染症１例：５～９歳男（６５０５） 垂水区○病原性大腸菌感染症１例：年齢・性別不詳（６８０４） 垂水区○カンピロバクター腸炎１例：年齢・性別不詳（６８０４） 西 区○マイコプラズマ感染症５例：５～９歳男女（６９０２） 西 区○アデノウイルス感染症１例：年齢・性別不詳（６９０３） 西 区○マイコプラズマ肺炎２例：５～９歳女（６９０５） 西 区○ヒトメタニューモウイルス感染症１例：５～９歳女（６９０５）,,,,,,,,,,,,,,【結核に関する情報】 今週の結核届出患者数は16人（うち潜在性結核感染症3人）です。 【市内の感染症の状況】 今年４例目となる風しんの届出がありました。風しんの３症状は全身に広がる 赤い発しん、耳の後部や首すじのリンパ節腫脹、発熱です。発しん出現の ７日前から感染する可能性があります。医療機関等で症状等から風しんを 疑った場合は直ちに保健所まで検査のご相談をお願いします。（322-6789）,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔お知らせ〕 バックナンバーは神戸市のホームページからご覧いただけます。 【感染症発生動向調査事業実施要綱】 http://www.city.kobe.lg.jp/life/health/infection/trend/img/youkou110729.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神戸市 発生動向 〔検索〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
または、神戸市ホームページ上段のバナーを以下のとおりたどってください。 ※病原体サーベイランスとは、流行する感染症の病原体を詳しく調べて、その特徴や流行状況を監視する （トップページ ＞ くらし・手続き ＞ 健康・医療 ＞ 感染症・予防接種 ＞ 感染症発生動向） システムです。 解析結果は、「神戸市環境保健研究所における病原体分離・検出状況」をご覧ください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
