神戸市感染症発生動向調査週報 平成29年4月25日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第 16週 平成29年4月17日 ～ 平成29年4月23日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,,～49歳,,～59歳,,～69歳,70歳～,
急性出血性結膜炎,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,
流行性角結膜炎,,2,,,,,1,,1,1,5,,,,,,,,,,,,,,,1,3,,,,1,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○ロタウイルス感染症1例：6歳　女 灘　 区○インフルエンザA型+溶連菌１例：6歳　男 中央区○ロタウイルス感染症1例：5歳　女 　　　　 ○ヒトメタニューモウイルス感染症2例：1歳　男女 北　 区○アデノウイルス感染症1例：1歳　女 西　 区○アデノウイルス感染症1例：5歳　女 　　　　 ○ロタウイルス感染症1例：年齢・性別不明,,,,,,,,【海外に渡航予定のみなさまへ】 【結核に関する情報】　　今週の結核届出患者数は5人（うち潜在性結核感染症0人）です。 ゴールデンウィークにおける海外で 【市内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,の感染症予防について｜厚生労,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,働省 ・ インフルエンザの定点あたり患者数は 1.7人（先週 1.7人）と横ばいです。 ・インフルエンザ定点機関から報告された迅速キット陽性情報で、B型インフルエンザ 陽性患者がA型インフルエンザ陽性患者を上回っています。,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,（インフルエンザ定点機関から報告された迅速キット陽性情報） 。 〔週報担当者からのお知らせ〕 ただけます。 　　ゴールデンウィークに伴い、来週の週報はお休みさせていただき,,,,,,,,,,,,,,,,,,,,A型,,B型,,,,,
（インフルエンザ定点機関から報告された迅速キット陽性情報） ○基幹定点（市内 3ヶ所）からの新たな報告はありません。 〔週報担当者からのお知らせ〕 〔お知らせ〕　バックナンバーは神戸市のホームページからご覧いただけます。 　　ゴールデンウィークに伴い、来週の週報はお休みさせていただき 　神戸市　発生動向　〔検索〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,41,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,きます。,,,,,,,
