神戸市感染症発生動向調査週報 平成29年5月15日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第 19週 平成29年5月8日 ～ 平成29年5月14日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,,,1,1,,2,1,5,3,3,,16,,5,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,1,,,2,2,,,5,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,1,,,2,4,2,1,3,2,,15,,,,,1,,,1,2,3,,,5,,,1,1,1,,,,,,,,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,,計,～6ヶ月,～12ヶ月,,1歳,2歳,,,3歳,4歳,5歳,6歳,,7歳,,,8歳,9歳,～14歳,～19歳,～29歳,,,～39歳,～49歳,,～59歳,～69歳,,70歳～,,
急性出血性結膜炎,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
流行性角結膜炎,,,,,1,,,,2,1,,,4,,,,,,,,1,,,,,,,,,,,,,,,2,1,,,,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○ノロウイルス感染症2例：1歳 男女 ○ロタウイルス感染症およびアデノウイルス感染症1例：1歳 男 中央区○ロタウイルス感染症1例：6歳 男 ○カンピロバクター1例：13歳 女 北 区○アデノウイルス感染症1例：0歳 女 ○ロタウイルス感染症2例：2～3歳 男 ○ヒトメタニューモウイルス感染症1例：1歳 男 垂水区○細菌性腸炎（病原性大腸菌O125）1例：年齢・性別不明 西 区○細菌性腸炎（病原性大腸菌O6）1例：73歳 女,,,,,,,,,,,【肺炎球菌ワクチンについて】,,,,,,【結核に関する情報】 今週の結核届出患者数は9人（うち潜在性結核感染症3人）です。 【市内の感染症の状況】 ・ インフルエンザの定点あたり患者数は 1.1人（先週 0.9人）となっています。,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,小児肺炎球菌ワクチン接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,種について,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,・インフルエン （インフルエン 〔お知らせ〕 バッ 神戸市 発生,,,,,,ンザによる学 ンザ定点機関 ックナンバーは 生動向 〔検索,,,,,,級閉鎖 から報 戸市の 「,鎖はありません。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,学級閉鎖はありません。,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,高齢者肺炎球菌の予防,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,接種について,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,関 は神 索〕,関から報告された迅速キット陽性 神戸市のホームページからご覧いた 〕 「ILI情報センター」ホームページ,,,,,,性情 ただ を開,情 だけ 開設,情報） けます。 設しています,,A 型,,,B 型,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,29,,,
,,,,,,,,,,,〔お知らせ〕 バックナンバーは神戸市のホームページからご覧いただけます。 神戸市 発生動向 〔検索〕 「ILI情報センター」ホームページを開設しています,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基幹定点（市内 3ヶ所）からの報告,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,す。詳細はこちらをクリック,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
・マイコプラズマ肺炎：0歳8ヶ月 女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
