,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"平成29年12月5日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 （内訳）東灘6,灘3,中央3,兵庫3, 第 48週 平成29年11月27日 ～ 平成29年12月3日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,関から報告されたその他の感染症情報】 【市内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○ノロウイルス感染症4例：1歳 男、１歳 女2例、2歳 男 ○マイコプラズマ気管支炎1例：7歳 女 灘 区○細菌性腸炎（カンピロバクター）1例：9歳 男 中央区○細菌性腸炎（カンピロバクター）2例：1歳 女、18歳 男,,,,,,,,,,,,,,,,からご覧,○インフルエンザ 流行期 今冬のインフルエンザ総合対策について 今週のインフルエンザ患者の報告は、定点あたり1.1人です（先週1.1人）。 季節性インフルエンザ流行状況 ILI情報センターの季節性インフルエンザ流行状況のページや 厚生労働省のインフルエンザ総合対策のホームページ等を参考にインフルエンザを予防しましょう。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北 区○アデノウイルス感染症2例：0歳9か月 女、3歳 女,,,,,,,,,,,,,,,,,（インフルエンザ定点機関から報告された迅速キット陽性情報）,,,,,,,,,,,,,,,,,,,,,,A 型,,,,,B 型,,,,,,,,,,,
長田区○細菌性腸炎（カンピロバクター）：10歳 女 垂水区○細菌性腸炎（カンピロバクター）1例：12歳 男 ○細菌性腸炎（病原性大腸菌O1）2例：年齢性別不明 西 区○アデノウイルス感染症1例：9歳 女 ○マイコプラズマ肺炎1例：4歳 男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,【 ○,,【行政検 ○麻しん ・24歳 ・渡航,,検 ん 歳 航,検査情 ん（五 歳 男 航歴な,情報】 五類感染 男 なし,,】※行政 染症）疑,,,政検 疑い,検査：公衆衛生上 い 検査結果：PC ・症 ・,,,,上、問 CR陰 症状 同居,問題となる病 陰性のため発 状：発熱、発疹 居者に同様の,,,病原体 発生届 疹、咳 の症状,,,体につい 出取下 、結膜充 なし,,,い 下げ 充,,いて市 げ 充血、,,,,,検査 ク斑 チン接種歴あり（回数不明）,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,体について市が行う検査 届出取下げ 咳、結膜充血、コプリック斑 状なし ・ワクチン接種歴あり（回数不明）,,,,,,,,,,,,,,,,,
〔お知らせ〕 バックナンバーは神戸市のホームページからご覧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,神,,,,,,,,,神戸市 発生動向 〔検索〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,覧いただけます。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
