,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成29年9月5日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第 35週 平成29年8月28日 ～ 平成29年9月3日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,2,1,11,,1,,2,,1,2,10,4,34,,,,,,,,,,2,,7,4,,5,,3,5,,4,2,1,,,,,1,,,,,
流行性耳下腺炎,,,,,,,2,1,1,,,,3,,,,2,9,18,,,,,,,,,,,,,,,2,,1,2,,2,6,2,1,,2,,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,東灘,灘,中央,,兵庫,,北,,長田,須磨,垂水,西,計,,,,,,,,～6ヶ月,,～12ヶ月,,1歳,2歳,,3歳,,4歳,5歳,,6歳,7歳,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～ 省 働省
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,1,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【,【定点機,機関,関,,,,,,,他の感染症情,,,,情報】,】 【,,,,,,,,市内,,内の感染,,,,,の状況】,,,】,,,,,,,,,,,,,,,,,,
,,,,関から報告されたその他の感染症情報】 【市内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北 区○アデノウイルス感染症1例：5歳 男 ○細菌性腸炎（病原性大腸菌O1）1例：1歳 男 ○細菌性腸炎（病原性大腸菌O166）1例：8ヶ月 男 ○細菌性腸炎（サルモネラ属菌）1例：7歳 女 西 区○マイコプラズマ肺炎1例：年齢性別不明,,,,,,,,,,,,,,,,,,のホーム,RSウイルス患者の報告が、定点あたり3.2人となり、過去10年同時期と比較してとても多いです。 手洗い、うがいを励行し、予防や感染拡大防止に努めましょう。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,【行政検査情報】 ※行政検査とは、公衆衛生上、問題となる病原体について市が行う検査のことです。 ○麻しん・風しん疑い：17歳 男 検査結果：麻しん・風しんともに陰性 発熱・発疹・リンパ節腫脹あり。渡航歴なし。予防接種歴1回。周囲での患者発生なし。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
○細菌性腸炎（カンピロバクター,,,,,,,,,,,,,,,,,,,【夏休みに海外に渡航したみなさまへ】,,,,,,,,,,,,,,,,,,,,,,,,夏休みにおける海外での感染症予防について|厚生労働省,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パでの麻しんの流行や蚊媒介感染症など）。 、体調が悪化した場合は、速やかに医療機関 ょう。,,,,,,,,
,,,,,,,,,,,,,,,,,,,海外では、さまざまな感染症が流行しています（ヨーロッパでの麻しんの流行や蚊媒介感染症など）。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【,【基幹定点（市,,,,,,ヶ所）からの報告,,,,告】,】,,,,,,,,,,,,,,,,,,,月の間 う。また ただけま,,間は、体調 た、受診時 ます。 神戸,,調に 時,に注意し は、海外,,し、発熱・発疹など、体調が 外渡航歴を伝えましょう。,,,,,,,,,,,,,
,,,,,市内 3ヶ所）からの報告】,,,,,,,,,,,,,,渡航後、約1ヶ月の間は、体調に注意し、発熱・発疹など、体調が悪化した場合は、速やかに医療機関 を受診しましょう。また、受診時は、海外渡航歴を伝えましょう。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
○無菌性髄膜炎1例：69歳 男 ○マイコプラズマ肺炎1例：10歳 男 〔お知らせ〕 バックナンバーは神戸市の,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,イタリア・ルーマニアを含むヨーロッパ地域での「麻しん（はしか）」大規模な流行｜厚生労働省 ムページからご覧いただけます。 神戸市 発生動向 〔検索〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
