"神戸市感染症発生動向調査週報 平成29年3月8日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 　（内訳）東灘6,灘3,中央3,兵庫3, 第9週 2017年 2月 27日 ～ 2017年 3月 5日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～,視する さい。
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,1,,,,,1,1,,,,,3,,,,,,,,,,,,,,,,,1,2,,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○ロタウイルス感染症１例：１０代男（６１０１） 灘　 区○ロタウイルス感染症１例：０～４歳男（６２０２） 中央区○ロタウイルス腸炎５例：年齢・性別不明、複数の施設で発生あり（６３０１） 北　 区○マイコプラズマ感染症１例：５～９歳男（６５０５） 北　 区○ノロウイルス性腸炎１例：０～４歳男（６５０５） 北　 区○アデノウイルス感染症６例：０～４歳男女、５～９歳女（６５０５） 垂水区○ロタウイルス感染症１例：０～４歳女（６８０２） 垂水区○細菌性腸炎（病原性大腸菌O1）１例：年齢・性別不明（６８０４） 垂水区○細菌性腸炎（カンピロバクター）１例：年齢・性別不明（６８０４） 西　 区○マイコプラズマ感染症１例：年齢・性別不明（６９０３）,,,,,,,,,,,,,,【結核に関する情報】　　今週の結核届出患者数は17人（うち潜在性結核感染症4人）です。 【市内の感染症の状況】 ・ インフルエンザの定点あたり患者数は 8.7人（先週 12.5人）と減少し、注意報レベルの10人 　　 を下回りました。 ・ 2017年の流行性耳下腺炎の患者数は、過去10年間で最多であった2010年を上回るペース 　　 で2016年に引き続き増加 しています。 　 ・ ロタウイルス胃腸炎の報告が増加しています。,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（インフルエンザ定点機関から報告された迅速キット陽性情報） 〔お知らせ〕　バックナンバーは神戸市のホームページからご覧いただけま 　神戸市　発生動向　〔検索〕 「ILI情報センター」の空床情報の更新,,,,,,,,,A　型,,,B　型,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,【感染症発生動向調査事業実施要綱】 　http://www.city.kobe.lg.jp/life/health/infection/trend/img/youkou110729.pdf,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,352,,,11,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,※病原体サーベイランスとは、流行する感染症の病原体を詳しく調べて、その特徴や流行状況を監視する 。 　システムです。 解析結果は、「神戸市環境保健研究所における病原体分離・検出状況」をご覧ください。,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ます。 ※病原体サーベイランスとは、流行する感染症の病原体を詳しく調べて、その特徴や流行状況を監視する 新を 3/10（金）で終了します。 　システムです。 解析結果は、「神戸市環境保健研究所における病原体分離・検出状況」をご覧ください。,,,,,,,,,,,,,,,,,,,,,,,,,,,
