【定点医療機関のみなさまへのお願い】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"いつもご協力いただきありがとうございます。今年の最終週（第52週）の報告について、年末年始の休診前に必ずご報告いただくよう、 お願い申し上げます。 平成29年12月26日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 （内訳）東灘6,灘3,中央3,兵庫3, 第 51週 平成29年12月18日 ～ 平成29年12月24日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手足口病,,,,,,2,1,,,,,,2,,,4,9,,,,,,,,,3,3,,,,,,1,,,1,1,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,,,,,1,,3,,2,,,2,2,1,1,12,,,,,2,,2,,4,3,,,,,,1,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,※百日咳は、平成30年1月1日か ら全数把握疾患となります。医療 機関では、届出基準に基づき、患 者を診断した際には、届出の提出 をお願いいたします。,,,,,,
流行性耳下腺炎,,,,,,2,,,,,,,,1,2,11,16,,,,,,,,,,1,,,5,3,2,2,,1,2,,,,,,,,,,,,,,,,,
"報告定点数 10 ヶ所 （内訳）東灘1,灘1,中央1,兵庫1,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"眼科 設置定点数 10 ヶ所 北1,長田1,須磨1,垂水1,西2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,届出について 神戸市HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,,,～6ヶ月,,～12ヶ月,,1歳,2歳,,,3歳,4歳,5歳,6歳,,7歳,8歳,9歳,,,～14歳,～19歳,,,～29歳,,～39歳,～49歳,,～59歳,,～69歳,70歳～,
急性出血性結膜炎,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
流行性角結膜炎,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【,【定点機,機関,関,,,,,,他の感染症情,,,情報】,】 【,,,,,,,市内の感染,,,,,の状況】,,,】,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,関から報告されたその他の感染症情報】 【市内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○アデノウイルス感染症3例：1歳 男2例、2歳 男 ○ノロウイルス感染症16例：1歳 男6例、1歳 女3例、 2歳 男3例、2歳 女2例3歳 女、5歳 男 ○細菌性腸炎（カンピロバクター）1例：9歳 男 中央区○アデノウイルス感染症1例：8歳 男,,,,,,,,,,,,,,,,ージから,○インフルエンザ 流行期 季節性インフルエンザ流行状況 今週のインフルエンザ患者の報告は、定点あたり4.5人です（先週3.4人）。 注意報水準（定点あたりの患者数が10人）には達していませんが、,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,市内の学校園では、先週（12/18～12/24）、13校の学級閉鎖が報告されています。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A 型,,B 型,,,
○ノロウイルス感染症1例：1歳 男 北 区○アデノウイルス感染症1例：9歳 男,,,,,,,,,,,,,,,,,また、全国的に例年の同時期と比較して、B型の検出率が高いです。 （インフルエンザ定点医療機関から報告された迅速キット陽性情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,56,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
○細菌性腸炎（病原性大腸菌O126）1例：5歳 女 垂水区○ノロウイルス感染症1例：1歳 女 ○細菌性腸炎（病原性大腸菌O1）1例：年齢性別不明 ○細菌性腸炎（病原性大腸菌O86a）1例：年齢性別不明,,,,,,,,,,,,,,,,,【 ○,,【行政検 ○麻しん ・4歳 ・渡航,,検 ん 歳 航,検査情 ん（五 歳 男 航歴な,情報】 五類感染 なし,,】※行政 染症）疑,,,政検 疑い,検査：公衆衛生上 い 検査結果：PC ・症 ・麻,,,,上、問 CR陰 症状： 麻しん,問題となる病 陰性のため発 ：発熱、発疹、 ん患者との接,,,病原体 発生届 、咳、 接触歴,体 届出 、鼻 歴な,体につい 出取下げ 鼻汁、結 なし,,いて市 げ 結膜充,,,,検査 クチン接種歴あり（1回）,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,市が行う検査 充血 ・ワクチン接種歴あり（1回）,,,,,,,,,,,
,,,,,,,,,,,,,,,,,神戸市 発生動向 〔検索〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神戸市 発生動向 〔検索〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔お知らせ〕 バックナンバーは神戸市,,,,,,,,,,,,,,市のホームページからご覧いただけます。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
