,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"平成29年10月17日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 （内訳）東灘6,灘3,中央3,兵庫3, 第 41週 平成29年10月9日 ～ 平成29年10月15日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
突発性発疹,,,,,,,1,2,,,,,,,,,1,4,,,,,1,2,,,1,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,5,3,,,,,,,,,,,8,,,,,1,,1,,1,,,,1,3,1,,,,,,,,,
流行性耳下腺炎,,,,,,1,,,,,,,,,1,,2,4,,,,,,,,,1,,,,2,,1,,,,,,,,,
"報告定点数 10 ヶ所 （内訳）東灘1,灘1,中央1,兵庫1,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,しっかり手をあらおう｜神戸市,,,,
"眼科 設置定点数 10 ヶ所 北1,長田1,須磨1,垂水1,西2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,,西,計,,,,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,,4歳,5歳,6歳,7歳,8歳,9歳,～14歳 ～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,1,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,1,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【市内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,○RSウイルス 例年に比べて早期（8月下旬）にピークを示したRSウイルス患者の報告が、定点あたり1.0人に減少しました。 しかし、10月に入ってからの神戸モデル（※）の連絡票では、未就学児施設での当疾患の複数名からの 発生や重症化による入院例が報告されているため、今後の動向に注意が必要です。 手洗い、うがいを励行し、予防や感染拡大防止に努めましょう。 ※ 神戸モデル（感染症早期探知・地域連携システム）：地域・学校園・施設・医療機関等と保健所・区との,,,,,,,,,,,,,,,,,,,,,,,,
【定点機関から報告されたその他の感染症情報】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中央区○細菌性腸炎（カンピロバクター）1例：2歳 男 垂水区○細菌性腸炎（カンピロバクター）1例：年齢性別不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔お知らせ〕 バックナンバーは神戸市のホームページからご覧いただけます。 神戸市 発生動向 〔検索〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,連携強化により感染症の流行を早期に把握し、予防を図る取組み。 神戸モデルについて｜ILI情報センター,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,【海外に渡航したみなさまへ】 海外では、さまざまな感染症が流行しています（蚊媒介感染症など）。 渡航後、約1ヶ月の間に体調が悪くなった場合は、速やかに医療機関を受診しましょう。,,,,,,,,,,,,,,,,,,,,,,,,
「ILI情報センター」ホームページを開設しています。詳細はこちらをクリック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ここに注意！海外渡航にあたって|FORTH,,,,,,,,,,,,,,,,,,,,,,,,
