"神戸市感染症発生動向調査週報 平成29年2月8日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 　（内訳）東灘6,灘3,中央3,兵庫3, 第5週 2017年 1月 30日 ～ 2017年 2月 5日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中央区○マイコプラズマ感染症１例：５～９歳男（６３０１） 北　 区○病原性大腸菌（O125）感染症１例：０～４歳女（６５０５） 北　 区○アデノウイルス感染症２例：０～４歳女（６５０５） 垂水区○ノロウイルス感染症２例：２０代女、５０代女（６８０２）　※家族内感染 垂水区○細菌性腸炎（病原性大腸菌O1）２例：年齢・性別不明（６８０４）　※うち1例はカンピロバクターとの混合感染 垂水区○細菌性腸炎（カンピロバクター）３例：年齢・性別不明（６８０４）　※うち1例は病原性大腸菌O1との混合感染 垂水区○ヒトメタニューモウイルス感染症３例：年齢・性別不明（６８０４） 西　 区○細菌性腸炎（病原性大腸菌O1）１例：４０代女（６９０１） 西　 区○アデノウイルス感染症２例：年齢・性別不明（６９０３） 西　 区○ロタウイルス感染症１例：年齢・性別不明（６９０３） 垂水区○トリコモナス膣炎３例：２０代女、３０代女（８８０２）　※性感染症定点からの報告,,,,,,,,,,,,,,【結核に関する情報】　　今週の結核届出患者数は８人（うち潜在性結核感染症４人）です。 【市内のインフルエンザの状況】 　　 インフルエンザの流行拡大に伴い市内学校園の学級閉鎖報告も急増しています。 （市内学校園からのインフルエンザ学級閉鎖報告）,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,学年閉鎖校数,,,,,学級閉鎖校数,,,欠席者数,,,過するまで,,,,
,,,,,,,,,,,,,,,,,,,,,第3週（1/16～1/22）,,,,2,,,,,54,,,825,,,,,,,
,,,,,,,,,,,,,,,,,,,,,第4週（1/23～1/29）,,,,1,,,,,101,,,1466,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,第5週（1/30～2/5）,,,,6,,,,,128,,,2062,,,,,,,
（インフルエンザ定点機関から報告された迅速キット陽性情報） 〔お知らせ〕　バックナンバーは神戸市のホームページからご覧いただけま 　神戸市　発生動向　〔検索〕 「ILI情報センター」ホームページを開設し,,,,,,,,,A　型,,,B　型,,,　　　◆ 　　　　 ◆ 　　　　,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,◆インフルエンザの出席停止の期間の基準（学校保健安全法施行規則）,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1517,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,　　　 発症後5日を経過し、かつ解熱後 2日（乳幼児にあっては 3日）を経過するまで ◆インフルエンザによる学級閉鎖の目安（法的な基準は存在しない）,,,,,,,,,,,,,,,,,,,
,,,,,,,,,　　　　　　 発症後5日を経過し、かつ解熱後 2日（乳幼児にあっては 3日）を経過するまで ます。 ◆インフルエンザによる学級閉鎖の目安（法的な基準は存在しない）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ました！詳細はこちらをクリック 　　　　　　 神戸市では、欠席率 15～20 % を目安に学級閉鎖を実施している,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
