"神戸市感染症発生動向調査週報 平成29年2月22日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 　（内訳）東灘6,灘3,中央3,兵庫3, 第7週 2017年 2月 13日 ～ 2017年 2月 19日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,4,7,1,,4,1,3,,3,4,,27,,,,,1,,4,5,7,4,2,1,2,,1,,,,,,
"　 報告定点数 10 ヶ所 （内訳）東灘1,灘1,中央1,兵庫1, 眼科 設置定点数 10 ヶ所 北1,長田1,須磨1,垂水1,西2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,2,2,,,1,,,5,,,,,1,,,,,,,,,1,1,1,,1,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中央区○ノロウイルス感染症１例：０～４歳男（６３０１） 中央区○カンピロバクター腸炎１例：１０代男（６３０１） 北　 区○アデノウイルス感染症４例：０～４歳男女、５～９歳女（６５０５） 垂水区○カンピロバクター腸炎１例：年齢・性別不明（６８０４） 垂水区○ヒトメタニューモウイルス感染症１例：年齢・性別不明（６８０４） 西　 区○ロタウイルス感染症１例：年齢・性別不明（６９０３）,,,,,,,,,,,,,,【結核に関する情報】　　今週の結核届出患者数は９人（うち潜在性結核感染症３人）です。 【市内の感染症の状況】 ・先週の週報でお伝えしました、市内で発生した侵襲性髄膜炎菌感染症については、,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,　　2/20に濃厚接触者全員の健康観察が終了し、新たな患者の発生はありませんでした。 ・インフルエンザの定点あたり患者数は19.0人となりました（先週は24..3人)。 　 第4週（1/23-1/29）から3週連続で患者数は減少し、流行のピークは脱したと思われます。,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（インフルエンザ定点機関から報告された迅速キット陽性情報） 〔お知らせ〕　バックナンバーは神戸市のホームページからご覧いただけま 　神戸市　発生動向　〔検索〕 「ILI情報センター」ホームページを開設し,,,,,,,,,A　型,,,B　型,,,【神戸市：医療機関における肝炎ウイルス無料検査について】 http://www.city.kobe.lg.jp/life/health/infection/hepatitis/kanenkensa.html,,,,,,,,,,,,,,,,,,,
,,,,,,,,,780,,,16,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,【兵庫県：肝炎ウイルス初回精密検査費用助成のご案内】 http://web.pref.hyogo.jp/kf16/kanenseiken.html,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ます。 【兵庫県：肝炎ウイルス初回精密検査費用助成のご案内】 http://web.pref.hyogo.jp/kf16/kanenseiken.html,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,しました！詳細はこちらをクリック,,,,,,,,,,,,,,,,,,,,,,,,,
