神戸市感染症発生動向調査週報 平成28年12月28日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第51週 2016年 12月 19日 ～ 2016年 12月 25日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○カンピロバクター腸炎１例（焼き鳥）：５～９歳男（６１０２） 灘 区○マイコプラズマ感染症１例：１０代男（６２０２） 北 区○ノロウイルス感染症０～４歳女、５～９歳男（６５０５） 垂水区○ノロウイルス感染症２例：０～４歳男女（６８０２） 垂水区○病原性大腸菌感染症１例：年齢・性別不詳（６８０４） 垂水区○マイコプラズマ感染症１例：年齢・性別不詳（６８０４） 西 区○マイコプラズマ感染症１例：１０代女（６９０２） 西 区○ノロウイルス感染症１例：年齢・性別不詳（６９０３）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,【 【 【 ※,,,,【結 【市 受 【感 h,結核 市内 イ 医 受診 感染 ttp,核,核に 内の インフ 医療機 診しま 染症 p://w,に関,,,関 感染 ルエ 関 し 発生 w.,関す,する情 染症の エンザ 関を受診 ょう。 生動向 city.ko,,情 の状 ザの 診 向調 be,情報 状況 の定 診す 調査 e.lg,報】 況】 定点 する 査事 g.jp,】 今 】,,今週の結核 たり患者数は は、症状のあ 実施要綱】 health/infec,,,核届出 は9.0人 ある方も tion/tre,出患者数は 人となり、ここ も付添いの方 end/img/youk,,,は０人です。 こ数週間で急増しています。 方も必ずマスクを着用して kou110729.pdf,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,関する情報】 今週の結核届出患者数は０人です。,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,インフルエンザの定点当たり患者数は9.0人となり、ここ数週間で急増しています。 医療機関を受診する際は、症状のある方も付添いの方も必ずマスクを着用して 診しましょう。,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（インフルエンザ定点機関から報告された迅速キット陽性情報） 〔お知らせ〕 バックナンバーは神戸市のホームページからご覧いただけ 神戸市 発生動向 〔検索〕 「ILI情報センター」ホームページを開設し,,,,,,,,,A 型,,,B 型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,染症発生動向調査事業実施要綱】 p://www.city.kobe.lg.jp/life/health/infection/trend/img/youkou110729.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,370,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,※病原体サーベイランスとは、流行する感染症の病原体を詳しく調べて、その特徴や流行状況を監視する システムです。 解析結果は、「神戸市環境保健研究所における病原体分離・検出状況」をご覧ください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ます。 ※病原体サーベイランスとは、流行する感染症の病原体を詳しく調べて、その特徴や流行状況を監視する しました！詳細はこちらをクリック システムです。 解析結果は、「神戸市環境保健研究所における病原体分離・検出状況」をご覧ください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
