,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成29年6月6日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第 22週 平成29年5月29日 ～ 平成29年6月4日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,注意報および警報水準の感染症はありません。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,【これから注意すべき感染症】 夏が近づき、気温の上昇に伴い、蚊が多く発生したり、ダニの活動が活発になります。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,蚊やダニは、様 蚊媒介感染症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
○細菌性 西 区○細菌性 ○EBウ,,,,,性 性 ウ,性 性 イ,,性腸炎（カンピロバク 性腸炎（病原性大腸 イルス感染症1例：年,,,,クター）2例：年齢性 腸菌O86a）1例：4歳 年齢性別不明,,,,性別不明 歳 女,,,,,,,,,,,,様々な感染症を媒介するた 症について｜厚生労働省,,,,,,,,,,,,め、さされないよう、注意が必要です。 ダニ媒介感染症について｜厚生労働省,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A 型,,,B 型,,クリック
基幹定点（市,,,,市内,,内 3ヶ所）からの報告 （インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ザ定点機関から報告された迅速キット陽性情 ンバーは神戸市のホームページからご覧い 〔検索〕,,,,,,,,情報） いただけます。 ページを開設してい,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,内 3ヶ所）からの報告,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3,,
,,,,,,,,,,,,,,,,,,,,,〔お知らせ〕 バックナンバーは神戸市のホームページからご覧いただけます。 神戸市 発生動向 〔検索〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ロタウイルス胃腸炎1例：3歳 男 マイコプラズマ肺炎1例：5歳 女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,います。詳細はこちらをクリック,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
