神戸市感染症発生動向調査週報 平成28年10月12日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第40週 2016年 10月 3日 ～ 2016年 10月 9日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,2,,,,,,2,,1,4,1,10,1,2,3,3,,,1,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,12,1,,4,,8,17,3,5,4,8,62,,1,1,4,,,7,9,11,9,4,,1,3,,8,,4,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,,中央,,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～,視する さい。
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,3,,,,,3,,,1,,,,,,,,,,,,,,,,1,,,1,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○マイコプラズマ感染症３例：０～４歳男女、１０代男（６１０１） 東灘区○ヒトメタニューモウイルス感染症１例：０～４歳男（６１０１） 灘 区○マイコプラズマ感染症６例：０～４歳男、５～９歳男女、１０代男（６２０２） 中央区○マイコプラズマ感染症１例：０～４歳・性別不明（６３０１） 北 区○マイコプラズマ感染症２例：０～４歳男（６５０５） 北 区○アデノウイルス感染症１例：０～４歳女（６５０５） 垂水区○細菌性腸炎（カンピロバクター）１例：性別・年齢不詳（６８０４） 垂水区○マイコプラズマ感染症３例：性別・年齢不詳（６８０４） 西 区○アデノウイルス感染症１例：０～４歳女（６９０２） 西 区○アデノウイルス感染症７例：年齢・性別不詳（６９０３） 西 区○ロタウイルス感染症１例：年齢・性別不詳（６９０３）,,,,,,,,,,,,,,【結核に関する情報】 今週の結核届出患者数は11人（うち潜在性結核感染症4人）です。 【市内の感染症の状況】 神戸市でマイコプラズマ肺炎患者が増加しています。 感染経路は飛沫感染・接触感染で、２～３週間の潜伏期間後に、 発熱や全身倦怠感、頭痛、痰を伴わない咳などの症状がみられます。 当疾患に有効な抗生剤があり、医療機関の早期受診が重要です。,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔お知らせ〕 バックナンバーは神戸市のホームページからご覧いただけます。 【感染症発生動向調査事業実施要綱】 http://www.city.kobe.lg.jp/life/health/infection/trend/img/youkou110729.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神戸市 発生動向 〔検索〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
または、神戸市ホームページ上段のバナーを以下のとおりたどってください。 ※病原体サーベイランスとは、流行する感染症の病原体を詳しく調べて、その特徴や流行状況を監視する （トップページ ＞ くらし・手続き ＞ 健康・医療 ＞ 感染症・予防接種 ＞ 感染症発生動向） システムです。 解析結果は、「神戸市環境保健研究所における病原体分離・検出状況」をご覧ください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
