,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"平成29年12月12日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 （内訳）東灘6,灘3,中央3,兵庫3, 第 49週 平成29年12月4日 ～ 平成29年12月10日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,,,,1,,,,5,6,12,,,,,,,,,1,3,,,1,3,,3,,1,,,,,,,,,,,,,
"報告定点数 10 ヶ所 （内訳）東灘1,灘1,中央1,兵庫1,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,手洗いポスター 神戸市HP,,,
"眼科 設置定点数 10 ヶ所 北1,長田1,須磨1,垂水1,西2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,東灘,灘,中央,,,兵庫,北,,長田,須磨,垂水,西,計,,,,～6ヶ月,,,,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,,,～29歳,,～39歳,,～49歳,～59歳,～69歳,70歳～ 況 り 例 ター
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,2,1,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【,【定点機,機関,関,,,,,,,他の感染症情,,,,情報】,】 【,,,,,【市,,市内の感染症の状況】,,,,,,,,】,,,,,,,,,,,,,,,,,,,,
,,,,関から報告されたその他の感染症情報】 【市内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○ノロウイルス感染症2例：0歳11か月 男、2歳 女 灘 区○混合感染（インフルエンザA型と溶血性レンサ球菌）1例：3歳 女 北 区○アデノウイルス感染症1例：6歳 男 垂水区○細菌性腸炎（カンピロバクター）1例：年齢性別不明 ○細菌性腸炎（病原性大腸菌O1）1例：年齢性別不明 ○細菌性腸炎（病原性大腸菌O86a）1例：年齢性別不明 ○細菌性腸炎（病原性大腸菌O128）1例：年齢性別不明 西 区○アデノウイルス感染症1例：4歳 男 ○ロタウイルス感染症2例：年齢性別不明,,,,,,,,,,,,,,,,,,からご覧,○インフルエンザ 流行期 季節性インフルエンザ流行状況 今週のインフルエンザ患者の報告は、定点あたり1.4人です（先週1.1人）。 東灘区のインフルエンザ定点医療機関からは、患者3名が同じクラスであったとの報告がありました。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,（インフルエンザ定点機関から報告された迅速キット陽性情報）,,,,,,,,,,,,,,,,,,,,,,A 型,,,B 型,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,【コメント欄の用語解説】 ※ 神戸モデル（感染症早期探知・地域連携システム）：地域・学校園・施設・医療機関等と保健所・区との連携強化により 感染症の流行を早期に把握し、予防を図る取組み。施設から1週間以内に発熱・下痢感染症または感染症を疑う事例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【 マ,【基幹定点（市 マイコプラズマ肺,,,,,,,,,,】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,市内 3ヶ所）からの報告】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,肺炎2例：3歳 女、6歳女,,,,,,,,,,,,,,の複数発生時に報告をいただいている。,,,,,,,,,,,,,,,,,,,,,,,,,神戸モデルとは ILI情報センター,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔お知らせ〕 バックナンバーは神戸市のホームページからご覧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,神戸市 発生動向 〔検索〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,覧いただけます。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
