area,name,url,交通機関,休館日,所在地,開館時間,電話,駐車場
神戸市中央区,バンドー神戸青少年科学館,http://www.kobe-kagakukan.jp/,ポートライナー「南公園」駅から徒歩3分,,神戸市中央区港島中町7丁目7番6号,,078-302-5177,
神戸市中央区,神戸市立博物館,http://www.city.kobe.lg.jp/culture/culture/institution/museum/main.html,「三宮」の各駅から南西へ徒歩約10分、「元町」の各駅から南東へ徒歩約10分、神戸市営地下鉄海岸線「旧居留地大丸前」駅から南東へ徒歩5分,,神戸市中央区京町24番地,,078-391-0035,
神戸市中央区,KOBE●とんぼ玉ミュージアム,http://www.lampwork-museum.com/,「三ノ宮」駅(JR・阪神・阪急)より徒歩8分,,神戸市中央区京町79番地 日本ビルヂング2F,,078-393-8500,
神戸市中央区,神戸布引ハーブ園,http://www.kobeherb.com/,神戸市営地下鉄「新神戸」駅から徒歩約5分、新神戸ロープウェイで約10分,,神戸市中央区北野町1丁目4-3,,078-271-1160,
神戸市中央区,相楽園,http://www.sorakuen.com/,神戸市営地下鉄「県庁前」駅下車、北へ徒歩5分、JR・阪神「元町」駅下車、北西へ徒歩10分,,神戸市中央区中山手通5丁目3番1号,,078-351-5155,
神戸市中央区,神戸開港150年記念事業「チームラボアイランド -学ぶ!未来の遊園地- in 神戸港」,http://www.kobeport150.jp/event/e171117.html,ポートライナー ポートターミナル駅下車すぐ,,神戸市中央区神港町4-5(神戸ポートターミナルホール),,078-303-3131(サンテレビジョン 企画開発部),
神戸市中央区,神戸港と神戸文化の企画展 神戸・みなと・時空,http://www.kobeport150.jp/event/e170100.html,JR三ノ宮駅より南へ徒歩20分。,,神戸市中央区小野浜町1-4,,078-322-5678,
神戸市中央区,神戸華僑歴史博物館,http://www.kochm.org/index.html,JR元町駅、阪神元町駅。,,神戸市中央区海岸通3-1-1,,078-331-3855,
神戸市中央区,竹中大工道具館,http://dougukan.jp/information,山陽新幹線「新神戸駅」中央改札口より徒歩約3分、市営地下鉄「新神戸駅」北出口2より徒歩約3分、シティ・ループ「12新神戸駅前(2F)」下車徒歩約3分、神戸市バス2系統・18系統「熊内6丁目」下車徒歩約2分,,神戸市中央区熊内町7-5-1,,078-242-0216,
神戸市中央区,UCCコーヒー博物館,http://www.ucc.co.jp/museum/,ポートライナー「南公園」駅北すぐ,,神戸市中央区港島中町6丁目6番2号,,078-302-8880,
神戸市兵庫区,水の科学博物館,http://www.city.kobe.lg.jp/life/town/waterworks/water/hakubutukan/index.html,JR「三ノ宮」駅又は「神戸」駅から市バス7系統「楠谷町」下車、北へすぐ。神戸市営地下鉄「県庁前」「大倉山」駅から徒歩約15分(駐車場はありません。ご注意ください。),,神戸市兵庫区楠谷町37-1・奥平野浄水場内,,078-351-4488,
神戸市兵庫区,ノエビアスタジアム神戸(旧 神戸ウイングスタジアム) ギャラリー,http://www.noevir-stadium.jp/,神戸市営地下鉄海岸線「御崎公園」駅,,神戸市兵庫区御崎町1丁目2番2号,,078-652-5656,
神戸市北区,神戸市立森林植物園,http://www.kobe-park.or.jp/shinrin/,神戸電鉄「北鈴蘭台」駅から定時送迎バス10分(通年運行、1時間に1本)。ミント神戸前から市バス25系統森林植物園行き(4月1日~11月末日の土曜・日曜・祝日運行。),,神戸市北区山田町上谷上字長尾1-2,,078-591-0253,
神戸市北区,太閤の湯殿館,http://arimaspa-kingin.jp/cont03/cont03-flm.htm,神戸電鉄「有馬温泉」駅から徒歩約8分,,神戸市北区有馬町1642,,078-904-4304,
神戸市北区,フルーツ・フラワーパーク,http://fruit-flowerpark.jp/,神戸電鉄「岡場」駅からバス・タクシーで約15分、JR「三田」駅から無料送迎バス(毎日運行)で約15分,,神戸市北区大沢町上大沢2150番地,,078-954-1000,
神戸市須磨区,須磨海浜水族園,http://sumasui.jp/,JR「須磨海浜公園」駅から南へ徒歩5分、山陽電鉄「月見山」駅から南へ徒歩10分、JR・山陽電鉄「須磨」駅、JR・神戸市営地下鉄「新長田」駅から市バス81系統「須磨水族園」下車,,神戸市須磨区若宮町1-3-5,,078-731-7301,
神戸市須磨区,須磨離宮公園,http://www.kobe-park.or.jp/rikyu/,山陽電鉄「月見山」駅から北西へ徒歩10分、「須磨寺」駅から北東へ徒歩10分、JR・山陽電鉄「須磨」駅から市バス75系統「離宮公園前」下車 、市営地下鉄「妙法寺」駅から市バス75系統「こども病院前」下車,,神戸市須磨区東須磨1-1,,078-732-6688,
神戸市垂水区,孫文記念館(移情閣),http://www.sonbun.or.jp/,JR「舞子」駅から徒歩5分、山陽電鉄「舞子公園」駅から徒歩約6分,,神戸市垂水区東舞子町2051番地,,078-783-7172,
神戸市垂水区,橋の科学館,http://www.hashinokagakukan.jp,JR「舞子」駅・山陽電鉄「舞子公園」駅から南へ徒歩約5分,,神戸市垂水区東舞子町4番114号,,078-784-3339,
神戸市垂水区,舞子海上プロムナード,http://www.hyogo-park.or.jp/,JR「舞子」駅・山陽電鉄「舞子公園」駅から南へ徒歩約5分,,神戸市垂水区東舞子町2051番地,,078-785-5090,
神戸市垂水区,マリンピア神戸さかなの学校,http://www.marinpia.com/,JR・山陽電鉄「垂水」駅から南西へ徒歩約10分,,神戸市垂水区海岸通12番4号,,078-706-5550,
神戸市西区,こうべ環境未来館,http://www.kobe-miraikan.com/index.html,神戸電鉄「木津」駅から徒歩約5分,,神戸市西区見津が丘1丁目9,,078-995-3196,
神戸市西区,神戸ワイナリー(農業公園),http://www.kobewinery.or.jp/,市営地下鉄「西神中央」駅からバス20・27系統「農業公園」下車。神戸電鉄「緑が丘」駅より神姫バス「農業公園」下車。神戸電鉄「栄」駅よりバス20系統西神中央駅行き「農業公園」下車,,神戸市西区押部谷町高和1557番地1,,078-991-3911,
神戸市西区,埋蔵文化財センター,http://www.city.kobe.lg.jp/culture/culture/institution/center/index.html,市営地下鉄「西神中央」駅下車、南へ徒歩約6分,,神戸市西区糀台6丁目1 西神中央公園内,,078-992-0656,
芦屋市,芦屋市立美術博物館,http://ashiya-museum.jp/,阪神「芦屋」駅から南東へ徒歩約15分、阪急バスの場合は、JR「芦屋」駅、阪急「芦屋川」駅の5番のりば、阪神「芦屋」駅の2番のりばから新浜町行きに乗り、「緑町」で下車、北側すぐ,,芦屋市伊勢町12-25,,0797-38-5432,
芦屋市,芦屋市谷崎潤一郎記念館,http://www.tanizakikan.com/,阪神「芦屋」駅から南東へ徒歩約15分。阪急バスの場合は、JR「芦屋」駅、阪急「芦屋川」駅の5番のりば、阪神「芦屋」駅の2番のりばから新浜町行きに乗り、「緑町」で下車、東へ徒歩約2分,,芦屋市伊勢町12-15,,0797-23-5852,
芦屋市,富田砕花旧居,http://www.city.ashiya.lg.jp/bijutsu/bunkashisetsu.html,阪神打出駅から徒歩5分、阪神芦屋駅・JR芦屋駅から徒歩10分,,芦屋市宮川町4番12号,,0797-38-5432,
芦屋市,虚子記念文学館,http://www.kyoshi.or.jp/,阪急芦屋川駅、JR・阪神芦屋駅から阪急バス乗車「テニスコート前」下車、徒歩約10分,,芦屋市平田町8-22,,0797-21-1036,
芦屋市,ヨドコウ迎賓館,http://www.yodoko.co.jp/geihinkan/,阪急芦屋川駅から北へ徒歩10分。JR芦屋駅から北西へ徒歩15分,,芦屋市山手町3-10,,0797-38-1720,
芦屋市,俵美術館,http://www.tawara-museum.or.jp/,阪急芦屋川駅下車南へ徒歩1分,,芦屋市月若町6-1,,0797-23-2878,
西宮市,西宮市大谷記念美術館,http://otanimuseum.jp/home/,阪神「香櫨園」駅から南西へ徒歩6分、阪急「夙川」駅から南西へ徒歩18分、JR「さくら夙川」駅から南西へ徒歩15分,,西宮市中浜町4-38,,0798-33-0164,
西宮市,西宮市貝類館,http://shellmuseum.jp/shell_db/,阪神「西宮」駅またはJR[西宮」駅からマリナパーク行き阪神バスに乗り「マリナパーク南」下車すぐ,,西宮市西宮浜4丁目13番4号,,0798-33-4888,
宝塚市,宝塚市立手塚治虫記念館,http://www.city.takarazuka.hyogo.jp/tezuka/,JR・阪急「宝塚」駅から花のみちを徒歩8分、 阪急「宝塚南口」駅から宝塚大橋を渡り徒歩5分,,宝塚市武庫川町7番65号,,0797-81-2970,
宝塚市,宝塚市立小浜宿資料館,http://www.city.takarazuka.hyogo.jp/about/1014688/shisetsu/kankokanren/1004511.html,阪神バス「小浜」バス停から北すぐ,,宝塚市小浜5丁目6番9号,,0797-81-3655,
宝塚市,宝塚市立歴史民俗資料館 旧和田家住宅,http://www.city.takarazuka.hyogo.jp/about/1014688/shisetsu/kankokanren/1004515.html,阪急宝塚線「売布神社」駅から南へ徒歩約10分,,宝塚市米谷1丁目8番25号,,0797-86-2752,
宝塚市,宝塚市立宝塚文化創造館 すみれミュージアム,http://www.takarazuka-c.jp/bsk,阪急・JR「宝塚」駅から徒歩12分,,宝塚市武庫川町6番12号 宝塚市立宝塚文化創造館2階,,0797-87-1136,
三田市,三田市有馬富士自然学習センター(愛称:キッピー山のラボ),http://kippy-labo.wix.com/kippy-labo/,JR「新三田」駅から神姫バスで5分、「有馬富士公園前」下車,,三田市福島1091-2,,079-569-7727,
三田市,三田市旧九鬼家住宅資料館,http://www.city.sanda.lg.jp/shisetsu/017.html,JR「三田」駅・神戸電鉄「三田本町」駅から徒歩10分,,三田市屋敷町7番35号,,079-559-6899,
三田市,三田市三輪明神窯史跡園,http://www.city.sanda.lg.jp/shisetsu/020.html,JR「三田」駅から徒歩約10分,,三田市三輪857-1,,079-563-8211,
三田市,三田ふるさと学習館,http://www.city.sanda.lg.jp/shisetsu/235.html,JR「三田」駅・神戸電鉄「三田本町」駅から徒歩10分,,三田市屋敷町7番33号,,079-563-5587,
三木市,三木市立堀光美術館,http://www2.city.miki.lg.jp/miki.nsf/0/6e58f2c67fd9758149256e6800082355?OpenDocument,神戸電鉄三木粟生線「上の丸駅」下車徒歩5分,,三木市上の丸町4番5号,,0794-82-9945,
三木市,三木市立金物資料館,http://www2.city.miki.lg.jp/miki.nsf/0/4FDA3D607DEC0D1E49256CA7001AC7C2,神戸電鉄三木粟生線「上の丸駅」下車徒歩5分、神姫バス「上の丸」下車徒歩5分,,三木市上の丸町5-43,,0794-83-1780,
三木市,みき歴史資料館,http://www2.city.miki.lg.jp/miki.nsf/cf6cfa88c407676349256f23001a1a38/,神戸電鉄(粟生線)三木上の丸駅下車徒歩5分。,,三木市上の丸町4-5,,0794-82-5060,
明石市,明石市立天文科学館,http://www.am12.jp/,JR「明石」駅から徒歩15分、山陽電鉄「人丸前」駅から徒歩3分,,明石市人丸町2番6号,,078-919-5000,
明石市,明石市立文化博物館,http://www.akashibunpaku.com/,JR・山陽電鉄「明石」駅から北へ徒歩5分,,明石市上ノ丸2丁目13番1号,,078-918-5400,
淡路市,淡路市北淡歴史民俗資料館,http://www.hyogo-c.ed.jp/~museum-ac/121-160/135.html,淡路交通西浦線「浅野」バス停下車、徒歩5分,,淡路市浅野南240,,0799-70-4135,
淡路市,淡路市立中浜稔猫美術館,,車-明石海峡大橋を渡って2つ目の東浦ICを海側へ5分、電車-JR「舞子」駅から高速バス20分、「東浦バスターミナル」下車すぐ,,淡路市浦668-2,,0799-75-2011,
洲本市,洲本市立淡路文化史料館,http://www1.sumoto.gr.jp/siryokan,洲本バスセンター下車、徒歩10分,,洲本市山手1丁目1-27,,0799-24-3331,
洲本市,高田屋嘉兵衛翁記念館,,五色バスセンター下車徒歩1分,,洲本市五色町都志241,,0799-33-0464,
南あわじ市,南あわじ市滝川記念美術館玉青館,http://www.city.minamiawaji.hyogo.jp/soshiki/gyokuseikan/main.html,淡路交通バス高速舞子・福良線「志知」下車。三宮・福良線「陸の港西淡」下車。各バス停よりタクシーで約5分。,,南あわじ市松帆西路1137-1,,0799-36-2314,
徳島市,徳島市立徳島城博物館(旧徳島城表御殿庭園),http://www.city.tokushima.tokushima.jp/johaku/index.html,JR「徳島」駅から徒歩10分、徳島市営バス「徳島公園鷲の門前」停留所から徒歩5分,,徳島市徳島町城内1-8,,088-656-2525,徳島中央公園内(電話088-655-9037)
徳島市,徳島市立考古資料館(阿波史跡公園),http://www.city.tokushima.tokushima.jp/shisetsu/bunka_art/koko/kouko_shiryokan.html,JR「徳島」駅から徳島バスで約25分、「鳥坂北」停留所下車徒歩約15分、JR「府中」駅からタクシーで約10分,,徳島市国府町西矢野字奥谷10-1,,088-637-2526,
徳島市,徳島市天狗久資料館,https://www.city.tokushima.tokushima.jp/shisetsu/bunka_art/tenguhisa/tenguhisa_shiryokan.html,JR「徳島」駅から徳島市営バスまたは徳島バスで約20分、「和田北」停留所下車徒歩約3分、JR「府中」駅から徒歩約15分,,徳島市国府町和田字居内172,,088-643-2231,
徳島市,とくしま動物園,http://www.city.tokushima.tokushima.jp/zoo/index.html,JR「徳島」駅から徳島市営バスの渋野行きに乗車約25分、「とくしま動物園」停留所下車,,徳島市方上町・渋野町,,088-636-3215,
徳島市,とくしま植物園(都市緑化植物園),http://www.city.tokushima.tokushima.jp/shisetsu/park/shokubutuen/map.html,JR「徳島」駅から徳島市営バスの「渋野行き」に乗車約25分、「とくしま動物園」停留所下車,,徳島市方上町・渋野町,,088-636-3131,
徳島市,阿波おどり会館,http://www.awaodori-kaikan.jp/,JR「徳島」駅から徒歩約10分,,徳島市新町橋2丁目20,,088-611-1611,
鳴門市,鳴門市ドイツ館,http://doitsukan.com/,JR「鳴門」駅から市バスで25分「ドイツ館前」下車、JR高徳線「板東」駅から徒歩20分,,鳴門市大麻町桧字東山田55-2,,088-689-0099,
鳴門市,鳴門市賀川豊彦記念館,http://www.city.naruto.tokushima.jp/manabu/bunka/bunkashisetsu/kagawa.html,JR「鳴門」駅から市バスで25分、「ドイツ館前」下車、JR高徳線「板東」駅から徒歩20分,,鳴門市大麻町桧字東山田50-2,,088-689-5050,
篠山市,篠山市立歴史美術館,http://www.withsasayama.jp/REKIBUN/rekibi_top.htm,JR福知山線「篠山口駅」から神姫グリーンバス篠山営業所行「春日神社前」バス停下車徒歩1分,,篠山市呉服町53番地,,079-552-0601,
篠山市,篠山城大書院,http://www.withsasayama.jp/REKIBUN/osyoin_top.htm,JR福知山線「篠山口駅」から神姫グリーンバス篠山営業所行「二階町」バス停下車徒歩5分,,篠山市北新町2-3史跡篠山城跡二の丸内,,079-552-4500,
篠山市,丹波伝統工芸公園 立杭 陶の郷,http://www.tanbayaki.com/index.html,JR福知山線「相野駅」より、「清水」「兵庫陶芸美術館」行き 神姫バス乗車10分「陶の郷前」下車すぐ,,篠山市今田町上立杭3,,079-597-2034,
篠山市,篠山市立武家屋敷安間家資料館,http://www.withsasayama.jp/REKIBUN/anma_top.htm,JR福知山線「篠山口駅」から新規グリーンバス篠山営業所行「二階町」バス停下車徒歩15分,,篠山市西新町95,,079-552-6933,
篠山市,篠山市立青山歴史村,http://www.withsasayama.jp/REKIBUN/aoyama_top.htm,JR福知山線「篠山口駅」から神姫グリーンバス篠山営業所行「二階町」バス停下車徒歩5分,,篠山市北新町48,,079-552-0056,
堺市,堺市博物館,http://www.city.sakai.lg.jp/kanko/hakubutsukan/,JR阪和線百舌鳥駅下車徒歩6分市。南海バス堺博物館前下車徒歩4分。,,堺市堺区百舌鳥夕雲町2丁大仙公園内,,072-245-6201,
堺市,堺市立みはら歴史博物館,http://www.city.sakai.lg.jp/kanko/mcmihara/,南海北野田駅から南海・近鉄バス多治井方面行、黒姫山古墳前下車すぐ。近鉄河内松原駅から近鉄バス余部行き、大保下車すぐ。,,堺市美原区黒山281,,072-362-2736,
堺市,堺市立町家歴史館 山口家住宅,http://www.city.sakai.lg.jp/kanko/rekishi/bunkazai/bunkazai/yamaguchike.html,阪堺電気軌道阪堺線「綾ノ町」より徒歩3分。,,大阪府堺市堺区錦之町東1丁2-31,,072-224-1155,
堺市,堺市立町家歴史館 清学院,http://www.city.sakai.lg.jp/kanko/rekishi/bunkazai/bunkazai/seigakuin.html,阪堺電気軌道阪堺線「高須神社」より徒歩5分。南海本線「七道駅」より徒歩5分。,,大阪府堺市堺区北旅籠町西1丁3-13,,072-228-1501,
堺市,堺市立文化館 堺 アルフォンス・ミュシャ館,https://mucha.sakai-bunshin.com/,JR阪和線「堺市」駅下車徒歩3分(デッキで直結)。,,堺市堺区田出井町1-2-200,,072-222-5533,
堺市,さかい利晶の杜,http://www.sakai-rishonomori.com,阪堺線 宿院駅より徒歩で1分。南海高野線 堺東駅よりバスで約6分。南海本線 堺駅より徒歩で約10分、バスで約3~5分。JR阪和線/南海高野線 三国ヶ丘駅よりバスで約10分。阪神高速15号堺線 堺ICより車で約3分。阪神高速4号湾岸線 大浜ICより車で約3分。,,堺市堺区宿院町西2丁1-1,,072-260-4386,
岸和田市,岸和田だんじり会館,http://www.kishibura.jp/danjiri/,南海「岸和田」駅から徒歩約10分。,,岸和田市本町11-23,,072-436-0914,
岸和田市,岸和田城,http://www.city.kishiwada.osaka.jp/soshiki/36/kishiwadajyo.html,南海「岸和田」駅から徒歩約10分。,,岸和田市岸城町9番1号,,072-431-9706,
岸和田市,きしわだ自然資料館,https://www.city.kishiwada.osaka.jp/site/shizenshi/,南海「岸和田」駅から徒歩15分。,,岸和田市堺町6番5号,,072-423-8100,
紀の川市,青洲の里・春林軒,http://seishu.sakura.ne.jp/,JR和歌山線 名手駅(徒歩20分),,紀の川市西野山473番地,,0736-75-6008,
