name,電話番号
豊岡市立城崎文芸館,0796-32-2575
豊岡市立竹野北前館,0796-47-2020
豊岡市立住吉屋歴史資料館,0796-47-1555
植村直己冒険館,0796-44-1515
但馬国府・国分寺館,0796-42-6111
豊岡市立美術館－伊藤清永記念館－,0796-52-5456
豊岡市立出石史料館,0796-52-6556
豊岡市立出石明治館,0796-52-2353
豊岡市立出石家老屋敷,0796-52-3416
豊岡市立加藤弘之生家,0796-52-5456(伊藤清永美術館)
豊岡市立いずし古代学習館,0796-52-7100
日本・モンゴル民族博物館,0796-56-1000
豊岡市立コウノトリ文化館,0796-23-7750
出石永楽館,0796-52-5300
玄武洞ミュージアム,0796-23-3821
青谿書院資料館,079-662-4378
養父市立上垣守国養蚕記念館,079-669-1580
養父市立大庄屋記念館,079-664-1628
養父市立木彫展示館,079-663-8070
養父市立山田風太郎記念館,079-663-5522
妙見山資料宝物館,079-662-2817
あさご芸術の森美術館,079-670-4111
あさご芸術の森美術館―淀井敏夫記念館―,079-670-4111
ムーセハウス写真館,079-677-1717
朝来市生野書院,079-679-4336
朝来市和田山郷土歴史館,079-675-2928
朝来市埋蔵文化財センター「古代あさご館」,079-670-7330
朝来市情報館天空の城,079-674-2120
朝来市旧生野鉱山職員宿舎（志村喬記念館）,079-670-5005
香美町立ジオパークと海の文化館,0796-36-4671
香美町立村岡民俗資料館「まほろば」,0796-98-1154
香美町立小代古代体験の森,0796-97-3966
浜坂先人記念館以命亭,0796-82-4490
おもしろ昆虫化石館,0796-93-0888
丹波市立柏原歴史民俗資料館,0795-73-0177
丹波市立植野記念美術館,0795-82-5945
丹波市立水分れ資料館,0795-82-5911
丹波市立青垣歴史民俗資料館,0795-70-0819(市教委)
丹波市立春日歴史民俗資料館,0795-70-0819(市教委)
丹波市立市島民俗資料館,0795-70-0819(市教委)
丹波市立青垣いきものふれあいの里,0795-88-0888
丹波市立丹波布伝承館,0795-80-5100
丹波竜化石工房ちーたんの館,0795-77-1887
洲本市立淡路文化史料館,0799-24-3331
高田屋嘉兵衛翁記念館,0799-33-0464
南あわじ市滝川記念美術館玉青館,0799-36-2314
南あわじ市淡路人形浄瑠璃資料館,0799-43-5037
淡路市北淡歴史民俗資料館,0799-82-2177
淡路市立中浜稔猫美術館,0799-75-2011
